gene	tpm_wt	label	strain	tpm_mutant	background	knockout
6.5	0.03246092561985811		phi910v2	0.0339000954098747	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
6.7	0.03499898559703219		phi910v2	0.03768831014836925	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
7	0.03671498722302529		phi910v2	0.0369783195884638	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
7.3	0.04331317840307435		phi910v2	0.042864176464119816	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
7.7	0.03547522917069264		phi910v2	0.02669195713027587	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
8	0.03006269427058609	8	phi910v2	0.013459822683260306	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
9	0.05589605308615307	9	phi910v2	0.012483611259311864	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
10A	0.128235911571677	10A	phi910v2	0.019909178767243584	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
11	0.012463572315618841		phi910v2	0.0033104214518011967	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
12	0.009027979005096087		phi910v2	0.0032769032587506683	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
13	0.00979804159769017		phi910v2	0.007351540345544148	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
14	0.01804931561400329		phi910v2	0.0142885673882119	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
15	0.013813525210848188		phi910v2	0.010485159916837461	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
16	0.009544124375287162		phi910v2	0.008051848901089134	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
17	0.02197047996468145		phi910v2	0.028724018608765035	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
17.5	0.0217402318217589		phi910v2	0.022122270161671717	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
18	0.018712417900320275		phi910v2	0.02003845273613815	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
18.5	0.012517383721651175		phi910v2	0.017227013856663136	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
18.7	0.012856258692398162		phi910v2	0.018384024875955217	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
19	0.010738206128414174		phi910v2	0.0154928014341984	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
19.2	0.015298211061326937		phi910v2	0.023601715299189217	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
19.3	0.015641304573933774		phi910v2	0.022732045076841883	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
19.5	0.041365523145565235		phi910v2	0.07296641387122624	wt	"paste(Delta, phi, ""9/"", phi, ""10"")"
0.3	0.0009473417853596758		11-44-phi9v2	0.0010625406375274577	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.4	1.5760609980165976e-06		11-44-phi9v2	3.0339666652542735e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.7	0.00045426013250041597		11-44-phi9v2	0.0004596452912980957	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.5	9.070193380385774e-07		11-44-phi9v2	2.82958456285134e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.6B	4.286619184509195e-07		11-44-phi9v2	2.72337726437219e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
0.6A	2.157146854190165e-07		11-44-phi9v2	2.3181124198973916e-07	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1	0.0011262250376203181		11-44-phi9v2	0.0014904589755606182	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.2	0.006946088163029126		11-44-phi9v2	0.006860745348947503	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.1	0.0074273393096180515		11-44-phi9v2	0.006771148684930622	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.3	0.007140217037370791		11-44-phi9v2	0.008061825461797336	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.4	0.0035823868785066475		11-44-phi9v2	0.0032997193707535385	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.5	0.01069803344234591		11-44-phi9v2	0.012522955858802646	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.6	0.008647038982139543		11-44-phi9v2	0.008873939174067449	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.7	0.009550071821309507		11-44-phi9v2	0.009264009129266056	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
1.8	0.015034614606147363		11-44-phi9v2	0.014047702011758402	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
2	0.01100446719483907		11-44-phi9v2	0.008641134308459662	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
2.5	0.012774637164722541		11-44-phi9v2	0.008997085115936602	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
2.8	0.0151323602419194		11-44-phi9v2	0.012051507478775314	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
3	0.020529444435843036		11-44-phi9v2	0.020129092151024663	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
3.5	0.025622535849217476		11-44-phi9v2	0.021994055283851732	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
3.8	0.0010850084840926684		11-44-phi9v2	0.0009083143845504403	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4A	0.0019200163962098148		11-44-phi9v2	0.0012272367135067392	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4.1	0.0025850355897906073		11-44-phi9v2	0.0018072279873234866	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4B	0.0019988098982957675		11-44-phi9v2	0.0012638613236850807	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4.2	0.003920213082933003		11-44-phi9v2	0.00263940647271838	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4.3	0.008517204795573519		11-44-phi9v2	0.0050112014461596065	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4.5	0.0056222812849951575		11-44-phi9v2	0.0023483295149350518	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
4.7	0.001974504596179401		11-44-phi9v2	0.0015465004701737	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5	0.0023919550714731337		11-44-phi9v2	0.002334544372650527	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5.3	0.004799029371345993		11-44-phi9v2	0.005112506200591003	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5.5-5.7	0.0055430238851232475		11-44-phi9v2	0.004307583940166478	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5.5	0.006349627957261149		11-44-phi9v2	0.004966382702434141	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5.7	0.007626246740450409		11-44-phi9v2	0.006057524783643218	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
5.9	0.007788084759816823		11-44-phi9v2	0.006187112302779095	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
6	0.006998431512180275		11-44-phi9v2	0.005870770067954385	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
6.3	0.011663469691809978		11-44-phi9v2	0.009166733152450188	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
6.5	0.03246092561985811		11-44-phi9v2	0.04389708001144718	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
6.7	0.03499898559703219		11-44-phi9v2	0.04361762453142985	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
7	0.03671498722302529		11-44-phi9v2	0.04654275483470653	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
7.3	0.04331317840307435		11-44-phi9v2	0.052699989138297314	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
7.7	0.03547522917069264		11-44-phi9v2	0.036681084717397304	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
8	0.03006269427058609	8	11-44-phi9v2	0.018503962300090084	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
9	0.05589605308615307	9	11-44-phi9v2	0.0157457190996096	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
10A	0.128235911571677	10A	11-44-phi9v2	0.08477292125241297	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
11	0.012463572315618841		11-44-phi9v2	0.0077514827354469955	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
12	0.009027979005096087		11-44-phi9v2	0.008229139369323133	"paste(""10""[""deop""])"	"paste(Delta, phi, ""9"")"
