date,state,unemploy_perc,house_price_index,house_price_perc
1988-07-01,Georgia,5.7,64.602960587,0.037524059664309606
1988-08-01,Georgia,5.6,64.623440291,0.036152440859704926
1988-09-01,Georgia,5.6,64.688413502,0.03817008318765236
1988-10-01,Georgia,5.5,64.633051077,0.035442323847757695
1988-11-01,Georgia,5.5,64.560510896,0.03090137445350094
1988-12-01,Georgia,5.4,64.77050187,0.03229971689443145
1989-01-01,Georgia,5.4,65.054422945,0.034413238245701416
1989-02-01,Georgia,5.4,65.163546427,0.030297090687203543
1989-03-01,Georgia,5.5,65.194268082,0.022817952950290987
1989-04-01,Georgia,5.5,65.253650168,0.017695260620143483
1989-05-01,Georgia,5.6,65.43714821,0.016651314662740946
1989-06-01,Georgia,5.6,65.724299849,0.01825871727258166
1989-07-01,Georgia,5.6,65.978112305,0.02128620276075588
1989-08-01,Georgia,5.6,66.190246358,0.024245166458867873
1989-09-01,Georgia,5.6,66.456999998,0.027340081480670575
1989-10-01,Georgia,5.5,66.655136023,0.03128561799737728
1989-11-01,Georgia,5.4,66.670178844,0.032677373811345056
1989-12-01,Georgia,5.3,66.699178154,0.029777077964765697
1990-01-01,Georgia,5.2,66.739543829,0.025903248506633947
1990-02-01,Georgia,5.1,66.59157601,0.021914546725902317
1990-03-01,Georgia,5.1,66.368592742,0.01801269796484206
1990-04-01,Georgia,5.1,66.310747381,0.016199817332493094
1990-05-01,Georgia,5.2,66.419791878,0.01501660287588491
1990-06-01,Georgia,5.4,66.521992035,0.012136944597852972
1990-07-01,Georgia,5.5,66.584619213,0.009192547146488206
1990-08-01,Georgia,5.6,66.616069296,0.0064333185239542345
1990-09-01,Georgia,5.8,66.497063443,0.0006028476308170827
1990-10-01,Georgia,5.8,66.234886554,-0.006304832516656922
1990-11-01,Georgia,5.9,66.084175909,-0.008789580966494515
1990-12-01,Georgia,5.9,66.138549803,-0.008405326220145781
1991-01-01,Georgia,5.8,66.208966124,-0.007949975000719922
1991-02-01,Georgia,5.8,66.223790192,-0.005523008164647902
1991-03-01,Georgia,5.7,66.256704913,-0.0016858550765865843
1991-04-01,Georgia,5.6,66.301793625,-0.0001350272218852977
1991-05-01,Georgia,5.4,66.358969835,-0.000915721673920955
1991-06-01,Georgia,5.2,66.39153531,-0.001961106710865801
1991-07-01,Georgia,5.0,66.291446067,-0.004403016033810436
1991-08-01,Georgia,4.8,66.118517116,-0.007468951339491214
1991-09-01,Georgia,4.8,66.022122178,-0.007142289304355676
1991-10-01,Georgia,4.7,66.030436987,-0.0030867353691821364
1991-11-01,Georgia,4.8,66.154334101,0.0010616488899948262
1991-12-01,Georgia,4.9,66.492265632,0.005348103792018
1992-01-01,Georgia,4.9,66.847910457,0.009650420032286
1992-02-01,Georgia,6.8,66.850759059,0.009467426512168142
1992-03-01,Georgia,7.3,66.600706135,0.005191945818188604
1992-04-01,Georgia,7.4,66.48225223,0.00272177561320075
1992-05-01,Georgia,7.3,66.604354869,0.0036978427273683945
1992-06-01,Georgia,7.3,66.863038245,0.007101853162431393
1992-07-01,Georgia,7.2,67.176085337,0.013344697128886196
1992-08-01,Georgia,7.1,67.519565953,0.02118996157372921
1992-09-01,Georgia,7.0,67.832048087,0.02741393110812651
1992-10-01,Georgia,6.9,67.938523794,0.028897079802389758
1992-11-01,Georgia,6.8,67.737144906,0.023926033365908594
1992-12-01,Georgia,6.7,67.485981167,0.01494482892942317
1993-01-01,Georgia,6.6,67.346648242,0.007460783464889653
1993-02-01,Georgia,6.4,67.442273995,0.008848290495519162
1993-03-01,Georgia,6.3,67.877842978,0.01917602555761566
1993-04-01,Georgia,6.2,68.39864115,0.02882557157314891
1993-05-01,Georgia,6.1,68.782139206,0.03269732649288981
1993-06-01,Georgia,6.0,69.016494543,0.03220697644802328
1993-07-01,Georgia,5.9,68.942861602,0.026300673165705613
1993-08-01,Georgia,5.9,68.988461458,0.02175510882315934
1993-09-01,Georgia,5.8,69.248753168,0.020885482908948205
1993-10-01,Georgia,5.8,69.28822434,0.019866497984155407
1993-11-01,Georgia,5.8,69.448017741,0.025257528013237218
1993-12-01,Georgia,5.8,69.575767637,0.030966230821015017
1994-01-01,Georgia,5.9,69.425538693,0.030868506529527773
1994-02-01,Georgia,5.8,69.429518291,0.02946585543879099
1994-03-01,Georgia,5.7,69.830289064,0.028764115068193874
1994-04-01,Georgia,5.6,70.374554567,0.028888196955064727
1994-05-01,Georgia,5.4,70.992143065,0.03213049033530524
1994-06-01,Georgia,5.2,71.499316524,0.03597432754938179
1994-07-01,Georgia,5.1,71.668982869,0.03954174810348943
1994-08-01,Georgia,5.0,71.742275481,0.03991702329347513
1994-09-01,Georgia,4.9,71.891002278,0.03815590879434061
1994-10-01,Georgia,4.8,72.093645109,0.040489142213165685
1994-11-01,Georgia,4.6,72.245215061,0.040277568906745165
1994-12-01,Georgia,4.5,72.352691103,0.03991222174490594
1995-01-01,Georgia,4.4,72.469446426,0.043844207625959974
1995-02-01,Georgia,4.5,72.558015508,0.045060044978096014
1995-03-01,Georgia,4.6,72.740134201,0.04167024332855207
1995-04-01,Georgia,4.8,73.148302602,0.03941407589811807
1995-05-01,Georgia,4.9,73.492853526,0.03522517215335186
1995-06-01,Georgia,5.1,73.745041732,0.03140904441018244
1995-07-01,Georgia,5.1,74.116920287,0.03415616240116659
1995-08-01,Georgia,5.1,74.441098332,0.037618305704768984
1995-09-01,Georgia,5.0,74.69582621,0.03901495101089081
1995-10-01,Georgia,4.9,74.989350263,0.04016588632218454
1995-11-01,Georgia,4.8,75.325818605,0.04264093533943947
