GEOID,state,income,income.moe,age,age.moe
13003,Georgia,30933.0,2584.0,34.9,0.8
13005,Georgia,37162.0,4097.0,37.1,0.7
13007,Georgia,44297.0,9366.0,42.6,4.4
13009,Georgia,32460.0,2489.0,34.1,0.5
13011,Georgia,41472.0,3202.0,40.4,0.5
13013,Georgia,52012.0,2034.0,34.8,0.2
13015,Georgia,48893.0,2506.0,37.4,0.4
13017,Georgia,29994.0,2807.0,38.6,0.9
13019,Georgia,31835.0,4173.0,39.0,1.0
13021,Georgia,36519.0,858.0,35.6,0.1
13023,Georgia,38991.0,5028.0,37.3,0.7
13025,Georgia,37206.0,4662.0,39.0,0.9
13027,Georgia,32663.0,3410.0,41.4,0.5
13029,Georgia,63327.0,2486.0,35.1,0.6
13031,Georgia,36032.0,1674.0,26.3,0.4
13033,Georgia,33641.0,2365.0,36.0,0.6
13035,Georgia,41667.0,5920.0,38.4,1.1
13037,Georgia,25513.0,3419.0,38.2,4.6
13039,Georgia,52473.0,2324.0,31.6,0.3
13043,Georgia,30185.0,3111.0,37.1,1.5
13045,Georgia,43586.0,2081.0,34.0,0.2
13047,Georgia,50876.0,1459.0,39.0,0.5
13049,Georgia,42778.0,5730.0,40.7,1.0
13051,Georgia,47218.0,923.0,34.3,0.1
13053,Georgia,43378.0,3089.0,23.3,0.4
13055,Georgia,32913.0,2074.0,40.3,0.6
13057,Georgia,68926.0,2411.0,37.4,0.2
13059,Georgia,32162.0,1188.0,26.5,0.1
13061,Georgia,20438.0,3369.0,40.3,6.1
13063,Georgia,40938.0,934.0,32.4,0.2
13065,Georgia,24015.0,6144.0,36.1,1.7
13067,Georgia,65873.0,1188.0,36.0,0.2
13069,Georgia,33965.0,2469.0,35.2,0.3
13071,Georgia,32409.0,1672.0,35.5,0.2
13073,Georgia,71021.0,1914.0,36.6,0.2
13075,Georgia,35683.0,3270.0,36.7,0.6
13077,Georgia,62461.0,1834.0,37.6,0.2
13079,Georgia,41825.0,2688.0,43.5,0.7
13081,Georgia,31615.0,3405.0,38.4,1.5
13083,Georgia,46434.0,4152.0,40.7,1.2
13085,Georgia,56943.0,3447.0,41.5,1.1
13087,Georgia,31284.0,2925.0,37.4,0.8
13089,Georgia,51376.0,634.0,35.1,0.1
13091,Georgia,34271.0,2852.0,40.2,0.7
13093,Georgia,28696.0,2826.0,41.4,1.1
13095,Georgia,32084.0,1315.0,34.2,0.2
13097,Georgia,53881.0,2368.0,35.9,0.2
13099,Georgia,31680.0,4146.0,40.3,1.3
13101,Georgia,32959.0,4338.0,35.4,3.0
13103,Georgia,63100.0,2169.0,36.1,0.3
13105,Georgia,35388.0,3292.0,41.3,0.8
13107,Georgia,32229.0,2779.0,36.9,0.9
13109,Georgia,37865.0,3601.0,35.3,0.8
13111,Georgia,37049.0,2287.0,50.2,0.4
13113,Georgia,79066.0,2497.0,43.3,0.2
13115,Georgia,41549.0,1582.0,38.0,0.4
13117,Georgia,88816.0,2165.0,38.0,0.3
13119,Georgia,33816.0,3408.0,40.9,0.8
13121,Georgia,57207.0,835.0,34.8,0.1
13123,Georgia,40228.0,3768.0,45.1,0.5
13125,Georgia,40759.0,6727.0,40.0,1.0
13127,Georgia,45918.0,1884.0,40.5,0.4
13129,Georgia,41612.0,1876.0,37.0,0.5
13131,Georgia,34187.0,2586.0,39.1,1.6
13133,Georgia,42408.0,2167.0,47.6,0.4
13135,Georgia,60289.0,691.0,34.5,0.1
13137,Georgia,40907.0,2152.0,38.8,0.5
13139,Georgia,51202.0,1016.0,35.6,0.2
13141,Georgia,24925.0,2624.0,43.9,0.5
13143,Georgia,41910.0,4156.0,40.3,1.1
13145,Georgia,63824.0,6066.0,43.1,0.6
13147,Georgia,37653.0,3017.0,43.2,0.5
13149,Georgia,41525.0,3868.0,40.1,1.0
13151,Georgia,60424.0,1382.0,36.3,0.2
13153,Georgia,53270.0,2008.0,34.8,0.1
13155,Georgia,34156.0,5617.0,39.0,1.7
13157,Georgia,53379.0,2756.0,38.3,0.5
13159,Georgia,42368.0,2443.0,39.9,1.0
13161,Georgia,36385.0,1879.0,36.1,0.8
13163,Georgia,26557.0,2063.0,38.4,0.9
13165,Georgia,24604.0,4183.0,40.7,5.1
13167,Georgia,34438.0,5003.0,39.6,0.9
13169,Georgia,51857.0,3748.0,39.4,0.6
13171,Georgia,40344.0,2660.0,38.6,0.7
13173,Georgia,37605.0,7316.0,33.6,1.2
13175,Georgia,32356.0,1971.0,38.5,0.3
13177,Georgia,61537.0,3729.0,36.7,0.5
13179,Georgia,42201.0,1401.0,27.6,0.3
13181,Georgia,34243.0,5267.0,47.2,0.5
13183,Georgia,48863.0,4807.0,31.2,0.8
13185,Georgia,36834.0,1205.0,29.4,0.2
13187,Georgia,43804.0,4188.0,36.0,0.8
13189,Georgia,36656.0,3974.0,38.2,0.7
13191,Georgia,42988.0,4556.0,47.6,0.9
13193,Georgia,28684.0,3453.0,40.5,0.6
13195,Georgia,41912.0,2632.0,40.2,0.4
13197,Georgia,36242.0,2618.0,41.7,1.5
13199,Georgia,35832.0,3364.0,42.1,0.5
13201,Georgia,33983.0,3830.0,41.0,1.4
13205,Georgia,31915.0,2571.0,37.6,0.6
13207,Georgia,48744.0,3540.0,41.9,0.6
13209,Georgia,34672.0,2095.0,38.0,1.0
13211,Georgia,51820.0,4371.0,43.2,0.6
13213,Georgia,35539.0,2859.0,37.2,0.7
13215,Georgia,42306.0,1071.0,33.5,0.2
13217,Georgia,49179.0,1840.0,35.8,0.4
13219,Georgia,72182.0,4982.0,39.7,0.5
13221,Georgia,44226.0,3798.0,42.4,1.1
13223,Georgia,60109.0,1783.0,35.1,0.1
13225,Georgia,41588.0,2893.0,34.7,0.4
13227,Georgia,54123.0,4466.0,44.7,0.3
13229,Georgia,40247.0,4379.0,39.0,1.0
13231,Georgia,51338.0,3370.0,38.9,0.8
13233,Georgia,37853.0,2768.0,37.2,0.9
13235,Georgia,38750.0,6998.0,41.3,2.6
13237,Georgia,44299.0,3123.0,45.6,1.2
13239,Georgia,31487.0,5002.0,49.2,6.1
13241,Georgia,35211.0,3631.0,47.8,0.7
13243,Georgia,28377.0,5926.0,39.2,4.4
13245,Georgia,37424.0,1318.0,33.3,0.2
13247,Georgia,50455.0,1946.0,37.5,0.3
13249,Georgia,39375.0,3458.0,38.4,3.5
13251,Georgia,34466.0,2114.0,40.0,0.7
13253,Georgia,34905.0,3103.0,45.1,0.6
13255,Georgia,40246.0,2344.0,38.2,0.6
13257,Georgia,40315.0,2971.0,41.2,0.6
13259,Georgia,21118.0,2214.0,38.0,1.3
13261,Georgia,32758.0,2525.0,34.6,0.3
13263,Georgia,34078.0,3045.0,47.5,0.3
13265,Georgia,26306.0,2695.0,47.9,4.1
13267,Georgia,33980.0,4566.0,36.2,0.5
13269,Georgia,28143.0,4305.0,42.6,0.9
13271,Georgia,26449.0,2086.0,40.3,0.8
13273,Georgia,28688.0,4364.0,41.0,1.6
13275,Georgia,36641.0,1929.0,39.4,0.7
13277,Georgia,37653.0,2622.0,35.1,0.2
13279,Georgia,33679.0,4663.0,34.9,0.9
13281,Georgia,37000.0,2684.0,52.4,0.7
13283,Georgia,38596.0,4213.0,42.8,3.1
13285,Georgia,41489.0,1789.0,36.1,0.4
13287,Georgia,31806.0,4370.0,38.0,1.3
13289,Georgia,30468.0,3565.0,45.6,0.4
13291,Georgia,40799.0,3727.0,53.3,0.7
13293,Georgia,35774.0,2147.0,41.5,0.9
13295,Georgia,41632.0,2006.0,40.4,0.5
13297,Georgia,54453.0,2150.0,38.5,0.5
13299,Georgia,34909.0,2982.0,37.9,0.6
13301,Georgia,29176.0,4527.0,44.3,1.1
13303,Georgia,37932.0,5113.0,40.0,0.7
13305,Georgia,38955.0,3192.0,37.3,0.7
13307,Georgia,37063.0,6031.0,41.0,5.5
13309,Georgia,27620.0,5034.0,38.4,2.0
13311,Georgia,40888.0,2526.0,43.9,0.6
